zpid,rawHomeStatusCd,marketingStatusSimplifiedCd,imgSrc,hasImage,detailUrl,statusType,statusText,price,priceLabel,address,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,has3DModel,hasVideo,isHomeRec,hasAdditionalAttributions,isFeaturedListing,isShowcaseListing,listingType,isFavorite,visited,info3String,brokerName,timeOnZillow,latLong.latitude,latLong.longitude,variableData.type,variableData.text,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.timeOnZillow,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.listing_sub_type.is_comingSoon,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,streetViewURL,streetViewMetadataURL,hdpData.homeInfo.datePriceChanged,hdpData.homeInfo.priceReduction,hdpData.homeInfo.priceChange,hdpData.homeInfo.unit,hdpData.homeInfo.videoCount,variableData.data.isRead,variableData.data.isFresh,minBeds,minBaths,minArea,buildingId,isBuilding,canSaveBuilding,unitCount,hdpData.homeInfo.listing_sub_type.is_bankOwned,availabilityDate,builderName,hdpData.homeInfo.listing_sub_type.is_newHome,hdpData.homeInfo.newConstructionType,lotId,hdpData.homeInfo.listing_sub_type.is_foreclosure,info6String
2243875,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/26204030eef81a9e41f8fbd16a377522-p_e.jpg,True,/homedetails/2878-Meadow-Brook-Dr-Woodbury-MN-55125/2243875_zpid/,FOR_SALE,House for sale,"$500,000",$500K,"2878 Meadow Brook Dr, Woodbury, MN 55125",5.0,4.0,3040.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,RE/MAX Professionals,278427000.0,44.907352,-92.94501,SHOWCASE,Showcase,2243875.0,2878 Meadow Brook Dr,55125,Woodbury,MN,44.907352,-92.94501,500000.0,4.0,5.0,3040.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,514200.0,2900.0,True,False,False,FOR_SALE,500000.0,278427000.0,True,False,False,USD,USA,513000.0,10454.4,sqft,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884963,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/12ef130c86bfb60daaa76f49da4264c4-p_e.jpg,True,/homedetails/5421-Cumberland-Rd-Minneapolis-MN-55410/1884963_zpid/,FOR_SALE,Coming soon,"$579,900",$580K,"5421 Cumberland Rd, Minneapolis, MN 55410",4.0,2.0,2408.0,False,False,ComingSoon,Coming Soon,False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,BRIX Real Estate,231057000.0,44.904255,-93.31115,SHOWCASE,Showcase,1884963.0,5421 Cumberland Rd,55410,Minneapolis,MN,44.904255,-93.31115,579900.0,2.0,4.0,2408.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,618900.0,3300.0,,False,False,FOR_SALE,579900.0,231057000.0,True,False,False,USD,USA,558000.0,7840.8,sqft,True,True,True,6/9 12-2pm,"[{'open_house_start': 1717959600000, 'open_house_end': 1717966800000}]",,,,,,,,,,,,,,,,,,,,,,,,
2255276,ComingSoon,Coming Soon,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=45.06867599487305,-92.95172882080078&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=N_YeGlRYO97lYjmH5McbZaOFV1s=",,/homedetails/205-Juniper-St-Saint-Paul-MN-55115/2255276_zpid/,FOR_SALE,Coming soon,"$579,900",$580K,"205 Juniper St, Saint Paul, MN 55115",3.0,3.0,2083.0,False,False,ComingSoon,Coming Soon,False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,Keller Williams Integrity Realty,1126117000.0,45.068676,-92.95173,OPEN_HOUSE,Open: Sat. 12-2pm,2255276.0,205 Juniper St,55115,Saint Paul,MN,45.068676,-92.95173,579900.0,3.0,3.0,2083.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,599900.0,2482.0,,False,False,FOR_SALE,579900.0,1126117000.0,True,False,False,USD,USA,384200.0,0.5599999999999999,acres,False,True,True,Sat. 12-2pm,"[{'open_house_start': 1717873200000, 'open_house_end': 1717880400000}]","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=45.06867599487305,-92.95172882080078&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=c4u_W-q-4LlWo1ZN7KzkDkfbpww=","https://maps.googleapis.com/maps/api/streetview/metadata?location=45.06867599487305,-92.95172882080078&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=7JowbGdcd5S-HnvYeV3w7wygi-g=",,,,,,,,,,,,,,,,,,,,,,
1602734,ComingSoon,Coming Soon,https://photos.zillowstatic.com/fp/ea83348d84eccb6a794433e237ecd3b3-p_e.jpg,True,/homedetails/1112-Emerson-Ct-Burnsville-MN-55337/1602734_zpid/,FOR_SALE,Coming soon,"$500,000",$500K,"1112 Emerson Ct, Burnsville, MN 55337",4.0,4.0,2840.0,False,False,ComingSoon,Coming Soon,False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,"Exp Realty, LLC.",854375000.0,44.756466,-93.29395,SHOWCASE,Showcase,1602734.0,1112 Emerson Ct,55337,Burnsville,MN,44.756466,-93.29395,500000.0,4.0,4.0,2840.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,518200.0,2949.0,,False,False,FOR_SALE,500000.0,854375000.0,True,False,False,USD,USA,516600.0,0.27999999999999997,acres,True,True,True,Mon. 5-7pm,"[{'open_house_start': 1717459200000, 'open_house_end': 1717466400000}, {'open_house_start': 1717801200000, 'open_house_end': 1717808400000}]",,,,,,,,,,,,,,,,,,,,,,,,
1963150,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/2d256b4bae8ffba829184dfcbdc98fc4-p_e.jpg,True,/homedetails/6432-Knoll-St-Golden-Valley-MN-55427/1963150_zpid/,FOR_SALE,House for sale,"$325,000",$325K,"6432 Knoll St, Golden Valley, MN 55427",3.0,1.0,1456.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,BRIX Real Estate,428759000.0,44.99429,-93.36231,SHOWCASE,Showcase,1963150.0,6432 Knoll St,55427,Golden Valley,MN,44.99429,-93.36231,325000.0,1.0,3.0,1456.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,341500.0,2010.0,True,False,False,FOR_SALE,325000.0,428759000.0,True,False,False,USD,USA,292100.0,6969.6,sqft,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967920,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/ca946f3541bf22b827cc99b64890ff9b-p_e.jpg,True,/homedetails/6608-W-Shore-Dr-Edina-MN-55435/1967920_zpid/,FOR_SALE,House for sale,"$895,000",$895K,"6608 W Shore Dr, Edina, MN 55435",4.0,3.0,2784.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,RE/MAX Results,228318000.0,44.882515,-93.34499,SHOWCASE,Showcase,1967920.0,6608 W Shore Dr,55435,Edina,MN,44.882515,-93.34499,895000.0,3.0,4.0,2784.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,933300.0,3876.0,True,False,False,FOR_SALE,895000.0,228318000.0,True,False,False,USD,USA,720600.0,0.5700000000000001,acres,True,,True,Sun. 12-2pm,"[{'open_house_start': 1717354800000, 'open_house_end': 1717362000000}]",,,,,,,,,,,,,,,,,,,,,,,,
1544755,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/6a3c5f67ae80458f036f674af5b60105-p_e.jpg,True,/homedetails/3522-142nd-Ave-NW-Andover-MN-55304/1544755_zpid/,FOR_SALE,House for sale,"$200,000",$200K,"3522 142nd Ave NW, Andover, MN 55304",3.0,3.0,1090.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,RE/MAX Results,415928000.0,45.228107,-93.35566,3D_HOME,3D Tour,1544755.0,3522 142nd Ave NW,55304,Andover,MN,45.228107,-93.35566,200000.0,3.0,3.0,1090.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,210800.0,1925.0,True,False,False,FOR_SALE,200000.0,415928000.0,True,False,False,USD,USA,287600.0,0.4,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056284397,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/47fb61085a748f30df87613656d30302-p_e.jpg,True,/homedetails/Xx-Ideal-Ave-Cottage-Grove-MN-55016/2056284397_zpid/,FOR_SALE,House for sale,"$125,000",$125K,"Xx Ideal Ave, Cottage Grove, MN 55016",3.0,3.0,2475.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,RE/MAX Professionals,1460088000.0,44.795574,-92.94446,,,2056284397.0,Xx Ideal Ave,55016,Cottage Grove,MN,44.795574,-92.94446,125000.0,3.0,3.0,2475.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,122100.0,2800.0,True,False,False,FOR_SALE,125000.0,1460088000.0,True,False,False,USD,USA,,0.0,sqft,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799475,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/fc6999eb7ed0268a02b34872412a66ab-p_e.jpg,True,/homedetails/11779-98th-Pl-N-Maple-Grove-MN-55369/1799475_zpid/,FOR_SALE,House for sale,"$350,000",$350K,"11779 98th Pl N, Maple Grove, MN 55369",4.0,2.0,2000.0,False,False,ForSale,For Sale (Broker),False,False,False,False,True,False,False,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,RE/MAX Results,847324000.0,45.133408,-93.43059,,,1799475.0,11779 98th Pl N,55369,Maple Grove,MN,45.133408,-93.43059,350000.0,2.0,4.0,2000.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,365800.0,2510.0,True,False,False,FOR_SALE,350000.0,847324000.0,True,False,False,USD,USA,371600.0,0.3,acres,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2078395,ForSale,For Sale by Agent,https://photos.zillowstatic.com/fp/b15b0a5d96db11be3bf6425e82365cde-p_e.jpg,True,/homedetails/5180-Park-Ave-White-Bear-Township-MN-55110/2078395_zpid/,FOR_SALE,House for sale,"$849,900",$850K,"5180 Park Ave, White Bear Township, MN 55110",5.0,4.0,3671.0,False,False,ForSale,For Sale (Broker),False,True,False,False,True,False,True,,False,False,https://photos.zillowstatic.com/fp/21a8c0bf07dea6a2e4fa48ddc4216704-zillow_web_48_23.jpg,"Realty Group, LLC",166898000.0,45.09821,-92.98669,SHOWCASE,Showcase,2078395.0,5180 Park Ave,55110,White Bear Township,MN,45.09821,-92.98669,849900.0,4.0,5.0,3671.0,SINGLE_FAMILY,FOR_SALE,-1.0,False,False,888300.0,4102.0,True,False,False,FOR_SALE,849900.0,166898000.0,True,False,False,USD,USA,597100.0,0.32999999999999996,acres,True,,True,Sun. 2-4pm,"[{'open_house_start': 1717362000000, 'open_house_end': 1717369200000}]",,,,,,,,,,,,,,,,,,,,,,,,
